orig_index,username,created_at,tweet,verdict
0,PIACaraga,2021-09-21 23:53:36+00:00,"RT @pcoogov: TINGNAN: Kahapon, Setyembre 20, inilabas ni @ntfcovid19ph Chairman Delfin Lorenzana sa publiko ang updates tungkol sa NTF COVIÃ¢â‚¬Â¦",TRUE
1,PIACaraga,2021-09-21 23:53:27+00:00,RT @pcoogov: TINGNAN: Nakatanggap ng additional doses ng Pfizer COVID-19 vaccines ang Pilipinas. Ito ay mula sa donasyon ng US government.Ã¢â‚¬Â¦,TRUE
2,PIACaraga,2021-09-21 23:53:17+00:00,"RT @pcoogov: TINGNAN: Nitong Lunes, Setyembre 20, kinuwestiyon ni Pangulong Rodrigo Roa Duterte ang ginagawang inquiry ng Blue Ribbon CommiÃ¢â‚¬Â¦",INVALID
3,PIACaraga,2021-09-21 23:52:36+00:00,RT @pcoogov: TINGNAN: Ipinabatid ni Presidential Spokesperson Secretary @attyharryroque sa publiko na ginagawa ng tama ng gobyerno ang trabÃ¢â‚¬Â¦,INVALID
4,PIACaraga,2021-09-21 23:52:23+00:00,"RT @pcoogov: PANOORIN: Kahapon, Setyembre 20, nagbigay ng updates si @DOHgovph @SecDuque sa National Vaccination Program. Iniulat niya angÃ¢â‚¬Â¦",TRUE
5,PIACaraga,2021-09-21 23:52:08+00:00,RT @pcoogov: TINGNAN: Inihayag ni Pangulo Rodrigo Roa Duterte na ginagawa ng gobyerno ang kanilang makakaya upang maprotektahan ang buhay nÃ¢â‚¬Â¦,INVALID
6,PIACaraga,2021-09-21 23:50:16+00:00,RT @pcoogov: TINGNAN: Inatasan ni Pangulong Rodrigo Roa Duterte ang kanyang gabinete na umaksyon agad para makakuha ng medical equipment gaÃ¢â‚¬Â¦,INVALID
7,PIACaraga,2021-09-21 23:49:31+00:00,RT @pcoogov: TINGNAN: Ayon kay Pangulong Rodrigo Roa Duterte may ilang senador na nagpakita ng audit reports ng mga ahensya ng gobyerno atÃ¢â‚¬Â¦,INVALID
8,ChocnutSpread,2021-09-21 22:59:57+00:00,"RT @ChocnutSpread: Okay guys, gumawa ako ng Google Sheet na listahan ng mga Oxygen suppliers sa NCR at Cavite. Kung meron kayong alam na mgÃ¢â‚¬Â¦",INVALID
10,CataloniaMaxine,2021-09-21 17:36:23+00:00,"RT @YummyCebu1: Ang sarap lang talaga ang sarap ugh ugh ugh 

#altercebu #alterph #sarapngpinoy #cebualter #sarapngpinay #alterpinay #alterÃ¢â‚¬Â¦",INVALID
11,greg_kassie,2021-09-21 16:28:08+00:00,RT @WinGatchalian74: Dapat mayroong sapat na abiso sa mga lugar na ilalagay sa granular lockdown upang mapaghandaan ito ng ating mga kababaÃ¢â‚¬Â¦,MOSTLY_TRUE
18,Amuraovonn,2021-09-21 15:35:30+00:00,"RT @newspatrol_ph: #COVID19PH : Bumaba pa ang COVID-19 reproduction rate ng National Capital Region (NCR) sa 1.11, ayon sa OCTA Research GrÃ¢â‚¬Â¦",TRUE
27,newspatrol_ph,2021-09-21 14:46:11+00:00,"#COVID19PH : Bumaba pa ang COVID-19 reproduction rate ng National Capital Region (NCR) sa 1.11, ayon sa OCTA Research Group.
https://t.co/ZZVAMMY2qy",TRUE
29,pcoogov,2021-09-21 13:53:57+00:00,"TINGNAN: Kahapon, Setyembre 20, inilabas ni @ntfcovid19ph Chairman Delfin Lorenzana sa publiko ang updates tungkol sa NTF COVID-19 Response mula sa kabuuang bilang ng Community Sub-Cluster hanggang sa Health Facilities Sub-Cluster. 

#workingPCOO 
#WeRiseAsOne 
#COVID19PH https://t.co/YNBDEE5Moq",TRUE
32,sereneged_nelle,2021-09-21 13:38:26+00:00,"RT @Plaridel_DLSU: KINUMPIRMA ng DOH na expired na ang 7,925 test kits o halos Php550 milyong halagang COVID-19 kits na binili ng ahensya aÃ¢â‚¬Â¦",TRUE
34,PIADesk,2021-09-21 13:30:00+00:00,"Sea Ambulance, operational na para sa mga pasyente sa isla ng Maripipi, Biliran Province.
 
#InformInformInform #COVID19PH #DuterteLegacy #MartinAndanar #BongGo https://t.co/OvkyscDnzU",TRUE
36,pcoogov,2021-09-21 13:19:39+00:00,"TINGNAN: Nakatanggap ng additional doses ng Pfizer COVID-19 vaccines ang Pilipinas. Ito ay mula sa donasyon ng US government. Ang mga bakunang ito ay makatutulong upang mabakunahan pa natin ang mas maraming Pilipino laban sa COVID-19.

#COVID19PH
#WeRiseAsOne
#RESBAKUNA https://t.co/kDPOP8LrGe",TRUE
40,Plaridel_DLSU,2021-09-21 13:08:54+00:00,"KINUMPIRMA ng DOH na expired na ang 7,925 test kits o halos Php550 milyong halagang COVID-19 kits na binili ng ahensya at Procurement Service ng Department of Budget and Management. 

#COVID19PH | mula @rapplerdotcom https://t.co/xlTMRZVwJh",TRUE
43,PIADesk,2021-09-21 13:00:01+00:00,"Ligtas na pagbabalik eskwela, kinokonsidera.
#InformInformInform #COVID19PH https://t.co/F5rGHLYv43",TRUE
46,rrromanillos,2021-09-21 12:39:21+00:00,"RT @philredcross: Ã°Å¸â€™Â¡ Alamin kung kailan pwede mag-donate ng dugo pagkatapos magpabakuna laban sa COVID-19 Ã°Å¸â€™Â¡

#PRCBloodServices #VaccinationPÃ¢â‚¬Â¦",TRUE
48,PIADesk,2021-09-21 12:30:01+00:00,"Border control sa pantalan, pinapairal sa Maripipi, Biliran Province para iwas-Covid-19 Delta variant.
 
#InformInformInform #COVID19PH #DuterteLegacy #MartinAndanar #BongGo https://t.co/vcthDGsjdd",TRUE
49,BU_CSSP_RCYC,2021-09-21 12:28:41+00:00,"RT @philredcross: Ã°Å¸""â€“ Basahin ang mga sumusunod na impormasyon tungkol sa iyong bakuna at timing ng blood donation Ã°Å¸""â€“

#PRCBloodServices #VaccÃ¢â‚¬Â¦",TRUE
53,pcoogov,2021-09-21 12:20:39+00:00,"TINGNAN: Nitong Lunes, Setyembre 20, kinuwestiyon ni Pangulong Rodrigo Roa Duterte ang ginagawang inquiry ng Blue Ribbon Committee na bigong patunayan ang kanilang mga walang batayang akusasyon ng anomalya sa gobyerno.

#workingPCOO
#WeRiseAsOne
#COVID19PH https://t.co/Lemoe1Prgr",INVALIDT
54,onnichann10,2021-09-21 12:13:04+00:00,Pagpa bakuna anay gha bag-o mo ko bakunahan. Ã°Å¸â€™â€°Ã¢Å¡â€¢Ã¯Â¸ÂÃ¢Å¡â€“Ã¯Â¸Â #COVID19PH #RESBAKUNA https://t.co/mKVHmI8UFb,INVALID
55,PIADesk,2021-09-21 12:00:03+00:00,"Para iwas-Covid-19, mahigpit sa border control ang Camarines Norte.
#InformInformInform #COVID19PH https://t.co/VLK246G57K",TRUE
57,PilStarNgayon,2021-09-21 11:47:08+00:00,"Ayon pa sa inactive actor hindi basta severe ang tumama sa kanya, talaga raw naging critical siya. Thankful lang siya na hindi siya na-intubate. Nakatulong daw na natutulog siya nang nakadapa at healthy lifestyle. #COVID19PH

https://t.co/TSx1HjvPHM",MOSTLY_TRUE
62,Alter_Yos,2021-09-21 11:35:18+00:00,"Kakapoy parikparik ba... negros occidental, lihog man b pahimunong kamo anay :( #COVID19PH",INVALID
63,newspatrol_ph,2021-09-21 11:13:56+00:00,"#COVID19PH : Patuloy na bumababa ang kaso ng Covid-19 sa nakalipas na tatlong araw. Ngayong September 21, nakapagtala ang Department of Health ng 16,361 na karagdagang kaso ng COVID-19.
https://t.co/Aqx1EKCtvh",TRUE
65,PIADesk,2021-09-21 11:00:01+00:00,"Pilot implementation ng Face-to-face classes, unang hakbang para sa normal na pagbubukas ng mga paaralan.
#InformInformInform #COVID19PH https://t.co/D7pJzFS07C",TRUE
66,pcoogov,2021-09-21 10:30:06+00:00,"TINGNAN: Ipinabatid ni Presidential Spokesperson Secretary @attyharryroque sa publiko na ginagawa ng tama ng gobyerno ang trabaho nito nang bilhin ang abot-kayang medical supplies upang maprotektahan ang healthcare workers. 

#COVID19PH 
#WeRiseOne
#workingPCOO https://t.co/M07dETZlSV",MOSTLY_TRUE
68,pcoogov,2021-09-21 10:06:02+00:00,"PANOORIN: Kahapon, Setyembre 20, nagbigay ng updates si @DOHgovph @SecDuque sa National Vaccination Program. Iniulat niya ang kabuuang bilang ng mga indibidwal na kumpleto na ang bakuna at ang mga nakakuha ng 1st dose.

#WeRiseAsOne
#workingPCOO
#COVID19PH https://t.co/bWljl2NXfg",TRUE
69,PIADesk,2021-09-21 10:00:00+00:00,"Home Quarantine kapag Asymptomatic sa Covid-19, pinapayagan sa Camarines Norte.
#InformInformInform #COVID19PH https://t.co/QYAD1DpISY",TRUE
70,pcoogov,2021-09-21 09:40:34+00:00,"TINGNAN: Inihayag ni Pangulo Rodrigo Roa Duterte na ginagawa ng gobyerno ang kanilang makakaya upang maprotektahan ang buhay ng healthcare workers at ng mga Pilipino. 

#workingPCOO 
#WeRiseAsOne 
#COVID19PH https://t.co/EybBqaN7li",MOSTLY_TRUE
71,newspatrol_ph,2021-09-21 09:08:10+00:00,"#COVID19PH : Nilinaw ng Civil Service Commission (CSC) na walang itinakdang hazard pay para sa mga empleyado ng gobyerno sa Metro Manila sa pagsasailalim sa Alert Level 4.
https://t.co/XGZmMrMqnz",TRUE
72,AbanteNews,2021-09-21 08:39:08+00:00,"Siyam na pari at 16 na empleyado ang tinamaan ng COVID-19 sa Christ the King Mission Seminary sa Quezon City ngayong Setyembre.
https://t.co/eqR5pFoXmc
#TunayNaTabloidista 
#AbanteNews 
#COVID19PH",TRUE
74,Quennie07049063,2021-09-21 08:24:45+00:00,"RT @QCGov: Nasa 91.2% o 142,456 na ang gumaling mula sa #COVID19PH sa Quezon City. Ayon sa QC Epidemiology and Disease Surveillance Unit (CÃ¢â‚¬Â¦",TRUE
75,Plaridel_DLSU,2021-09-21 08:19:51+00:00,"MAHIGIT 16,300 ang karagdagang kumpirmadong kaso ng COVID-19 sa Pilipinas ngayong araw, Setyembre 21.

Dahil dito, 2,401,916 na ang kabuuang bilang ng kaso ng sakit sa bansa at nasa 171,142 ang mga aktibong kaso rito.

#COVID19PH | mula @DOHgovph https://t.co/2iH7vj9u8F",TRUE
76,PhilstarNews,2021-09-21 08:09:40+00:00,"RT @PilStarNgayon: BREAKING: Lumampas na sa 37,000 ang namamatay sa COVID-19 sa Pilipinas simula nang humataw ang pandemya, ayon sa bagongÃ¢â‚¬Â¦",TRUE
78,PilStarNgayon,2021-09-21 08:07:06+00:00,"BREAKING: Lumampas na sa 37,000 ang namamatay sa COVID-19 sa Pilipinas simula nang humataw ang pandemya, ayon sa bagong mga datos ng Department of Health, Martes. #COVID19PH

https://t.co/4uSVU3MwDL",TRUE
79,PIADesk,2021-09-21 08:00:00+00:00,"Sa Alert Level 5 lang magkaka-hazard pay ang government employees.
#InformInforminform #COVID19PH https://t.co/Bt57aYgjLL",TRUE
81,RAdvincula2022,2021-09-21 07:41:49+00:00,"Pinagkunan: ABS-CBN 

#PasayCity #BeatCOVID19 #COVID19PH #COVIDALERT #paRAsamasa #paRAsabayan #RAmaaasahan #RAngMasa #TapatsaBayan #workfromhome https://t.co/kPDfyfcRbM",INVALID
82,DVielKptwt,2021-09-21 07:40:16+00:00,"Serbisyong Bayanihan | Live | September 21, 2021

UNTV: https://t.co/93xbrisfzb

Buhay ang pagtutulungan. Bukas ang palad sa nangangailangan. Pag-ibig ng Dios ang sandigan...

#SerbisyongBayanihanÃ‚Â 
#COVID19PHÃ‚Â 
#UNTVNewsandRescue",INVALID
84,pcoogov,2021-09-21 07:36:05+00:00,"PANOORIN: Kinuwestiyon ni Pangulong Rodrigo Duterte ang kakayahan ng Philippine Red Cross matapas lumabas na maraming kaso ng false positive sa COVID-19 mula sa kanilang laboratoryo. 

#workingPCOO
#COVID19PH
https://t.co/2DcmOmNV4Q",MOSTLY_TRUE
86,PilStarNgayon,2021-09-21 07:32:23+00:00,"""Kung mga teachers natin, mga staff, na 65 years old and below, kung walang comorbidities pwede silang sumali sa programa, pwede silang mag-serve regardless of their vaccination status,"" ani Briones kahapon. #COVID19PH #VaccineWatchPH",MOSTLY_TRUE
88,PilStarNgayon,2021-09-21 07:28:06+00:00,"Bagama't idinidiin ng grupo ang kalalagahan ng COVID-19 vaccination sa hanay ng private teachers, pwedeng magturo ang mga unvaccinated teachers sa mga bata, ayon kay Education Secretary Leonor Briones basta't 65-anyos pababa at walang comorbidity. #COVID19PH",MOSTLY_TRUE
89,PilStarNgayon,2021-09-21 07:26:48+00:00,"Ika-20 kasi ng Setyembre nang ianunsyo ni presidential spokesperson Harry Roque at ng Department of Education (DepEd) ang pilot implementation ng face-to-face classes sa mga low-risk areas pagdating sa virus, bagay na aprubado ni Pangulong Rodrigo Duterte. #COVID19PH",TRUE
95,QCGov,2021-09-21 06:38:53+00:00,"Nasa 91.2% o 142,456 na ang gumaling mula sa #COVID19PH sa Quezon City. Ayon sa QC Epidemiology and Disease Surveillance Unit (CESU), 12,427 ang kumpirmadong active cases mula sa 156,279 na kabuuang bilang ng nagpositibo sa lungsod. https://t.co/FB035BHUCs",TRUE
97,newspatrol_ph,2021-09-21 06:21:19+00:00,"#COVID19PH : Lumilitaw na pinakamababa pa rin ang presyo ng face masks na nabili ng Procurement service ng Department of Budget and ManagementÃ‚Â  (PS-DBM) sa kontrobersiyal na Pharmally Pharmaceutical Corp.
https://t.co/fIyulSZngW",TRUE
98,pcoogov,2021-09-21 06:05:09+00:00,"TINGNAN: Inatasan ni Pangulong Rodrigo Roa Duterte ang kanyang gabinete na umaksyon agad para makakuha ng medical equipment gaya ng PPEs at face masks upang maprotektahan ang healthcare workers at mailigtas ang buhay ng mga Pilipino. 

#workingPCOO 
#WeRiseAsOne 
#COVID19PH https://t.co/ffprpzBqnY",TRUE
99,newspatrol_ph,2021-09-21 05:07:27+00:00,"#COVID19PH : Dumating sa Pilipinas ang karagdagang 561,600 doses ng Pfizer COVID-19 vaccines kagabi, Lunes, Sept. 20.
https://t.co/hxU1pM7PxA",TRUE
110,pcoogov,2021-09-21 03:55:22+00:00,"TINGNAN: Ayon kay Pangulong Rodrigo Roa Duterte may ilang senador na nagpakita ng audit reports ng mga ahensya ng gobyerno at pinalabas na may anomalya para maakusahan at masira ang imahe ng mga opisyal nito.

#workingPCOO
#WeRiseAsOne
#COVID19PH https://t.co/lQ3YTtcozD",INVALIDT
112,PIADesk,2021-09-21 03:30:00+00:00,"Inilahad ni Mayor Leoncio Bagol na bago matapos ang taon, magkakaroon na ng Population Protection sa Tubod, Lanao del Norte laban sa COVID-19.
 
#InformInformInform #COVID19PH https://t.co/tGMLBGxc43",MOSTLY_TRUE
114,LSutares,2021-09-21 03:06:18+00:00,"RT @pcoogov: TINGNAN: Dumating na sa bansa nitong Setyembre 19,  ang dalawang milyong Pfizer vaccines na donasyon ng US government sa pamamÃ¢â‚¬Â¦",TRUE
115,WinGatchalian74,2021-09-21 03:00:03+00:00,Dapat mayroong sapat na abiso sa mga lugar na ilalagay sa granular lockdown upang mapaghandaan ito ng ating mga kababayan na nagtatrabaho. #COVID19PH https://t.co/vUJiiP5Bsc,MOSTLY_TRUE
116,sue_2016,2021-09-21 02:45:13+00:00,"RT @PIA_NCR: COVID-19 surge sa Metro Manila, bumaba na ngunit nasa 'very high level' pa rin -OCTA

MAYNILA, (PIA)- Patuloy na bumababa angÃ¢â‚¬Â¦",TRUE
120,PIACaraga,2021-09-21 00:47:03+00:00,"Alert Level 4 sa NCR, posibleng i-extend ng dalawang linggo.
 
#InformInforminform #COVID19PH https://t.co/8L2oEVLOs2",TRUE
121,PIACaraga,2021-09-21 00:46:56+00:00,"Sa pagpapatupad ng Alert Level Systems, matutuloy na ang maraming hanap-buhay sa Pilipinas.
#InformInforminform #COVID19PH https://t.co/CCuW0i8nZV",MOSTLY_TRUE
122,PIACaraga,2021-09-21 00:46:46+00:00,"Nagtagisan ng kaalaman ang mga kabataan sa Online Quarantanungan activity ng SK Federation Baroy, Lanao del Norte.
 
#InformInformInform #COVID19PH  #DuterteLegacy #MartinAndanar #BongGo https://t.co/ZXXb5pPuR8",TRUE
124,PIACaraga,2021-09-21 00:42:48+00:00,"RT @pcoogov: TINGNAN: Dumating na sa bansa nitong Linggo, Setyembre 19, 2021, ang karagdagang tatlong milyong doses ng Sinovac. Sa kabuuan,Ã¢â‚¬Â¦",TRUE
130,philredcross,2021-09-20 23:40:48+00:00,"Ã°Å¸""â€“ Basahin ang mga sumusunod na impormasyon tungkol sa iyong bakuna at timing ng blood donation Ã°Å¸""â€“

#PRCBloodServices #VaccinationPH #COVID19PH 
#AlwaysFirstAlwaysReadyAlwaysThere 
#HopeBeginsWithTheRedCross 
#IStandWithPHRedCross
#RedCrossLangSakalam https://t.co/uzagI2obfa",TRUE
131,PIA_NCR,2021-09-20 23:35:00+00:00,"COVID-19 surge sa Metro Manila, bumaba na ngunit nasa 'very high level' pa rin -OCTA

MAYNILA, (PIA)- Patuloy na bumababa ang average na bilang ng mga bagong kaso ngunit ang antas ng bilang ng hawahan ay nananatiling ""very high level"" pa rin

#COVID19PH 
https://t.co/PiUymtIopK https://t.co/D3qUX1y83c",TRUE
133,philredcross,2021-09-20 23:00:00+00:00,"Ã°Å¸â€™Â¡ Alamin kung kailan pwede mag-donate ng dugo pagkatapos magpabakuna laban sa COVID-19 Ã°Å¸â€™Â¡

#PRCBloodServices #VaccinationPH #COVID19PH 
#AlwaysFirstAlwaysReadyAlwaysThere 
#HopeBeginsWithTheRedCross 
#IStandWithPHRedCross
#RedCrossLangSakalam https://t.co/omJAmuoO6z",TRUE
136,PIADesk,2021-09-20 15:30:00+00:00,"Alert Level 4 sa NCR, posibleng i-extend ng dalawang linggo.
 
#InformInforminform #COVID19PH https://t.co/Ky82gcFzCx",TRUE
137,newspatrol_ph,2021-09-20 15:06:44+00:00,"#COVID19PH : Umabot sa 97 lugar sa bansa ang nakasailalim sa Alert Level 4, ayon kayÃ‚Â  Health Undersecretary Maria Rosario Vergeire.
https://t.co/aCIoBDMYDf",TRUE
138,theeriginal_,2021-09-20 15:00:42+00:00,"RT @PIADesk: Sa pagpapatupad ng Alert Level Systems, matutuloy na ang maraming hanap-buhay sa Pilipinas.
#InformInforminform #COVID19PH httÃ¢â‚¬Â¦",MOSTLY_TRUE
139,PIADesk,2021-09-20 15:00:03+00:00,"Sa pagpapatupad ng Alert Level Systems, matutuloy na ang maraming hanap-buhay sa Pilipinas.
#InformInforminform #COVID19PH https://t.co/HIXX3xBFT9",MOSTLY_TRUE
141,Plaridel_DLSU,2021-09-20 13:44:55+00:00,"DUMATING na ang karagdagang 561,600 doses ng Pfizer vaccine sa bansa ngayong Lunes nang gabi, Setyembre 20. Sa kabuuan, umabot na sa mahigit 2.5 milyong Pfizer vaccines ang dumating sa bansa ngayong araw. #COVID19PH | mula @cnnphilippines https://t.co/Jl7TSMU2Sz",TRUE
142,PIADesk,2021-09-20 12:30:00+00:00,"Nagtagisan ng kaalaman ang mga kabataan sa Online Quarantanungan activity ng SK Federation Baroy, Lanao del Norte.
 
#InformInformInform #COVID19PH  #DuterteLegacy #MartinAndanar #BongGo https://t.co/PGIzoewSoP",TRUE
144,jhzmnaa,2021-09-20 11:34:04+00:00,"RT @Plaridel_DLSU: UMABOT sa 18,937 ang kumpirmadong karagdagang kaso ng COVID-19 sa Pilipinas ngayong araw, Setyembre 20.

Dahil dito, 2,3Ã¢â‚¬Â¦",TRUE
145,newspatrol_ph,2021-09-20 11:27:47+00:00,"#COVID19PH : Muling bumaba ang kaso ng Covid-19 ngayong araw, September 20. Ayon sa Department of Health, mayroong 18,937 na karagdagang kaso ng COVID-19 ngayon.
https://t.co/KWuzuRi5Fz",TRUE
146,Thelma13128608,2021-09-20 11:14:36+00:00,"RT @WinGatchalian74: Katuwang ng LGUs, ginagamit po ang ating mga hotel bilang vaccination facilities para tumulong sa ating mga kababayanÃ¢â‚¬Â¦",MOSTLY_TRUE
148,AbanteNews,2021-09-20 10:56:46+00:00,"Hindi ipatutupad ang COVID-19 alert level system sa iba pang lugar sa bansa sa Oktubre.
https://t.co/0sG8VIz2Ra
#TunayNaTabloidista 
#AbanteNews 
#COVID19PH 
@attyharryroque",TRUE
152,pcoogov,2021-09-20 09:36:27+00:00,"TINGNAN: Dumating na sa bansa nitong Setyembre 19,  ang dalawang milyong Pfizer vaccines na donasyon ng US government sa pamamagitan ng COVAX.

#workingPCOO 
#RESBAKUNA 
#COVID19PH https://t.co/YrOISkn7kU",TRUE
154,banderaphl,2021-09-20 08:19:59+00:00,"JUST IN: Nakatala ang Department of Health ng karagdagang 18,937 mga bagong kaso ng COVID-19 sa bansa ngayong Lunes, Setyembre 20. Pumapalo na sa kabuuang bilang na 2,385,616 ang naitatalang kaso sa Pilipinas. #CoronavirusPH #COVID19PH https://t.co/xS6llb2MUG",TRUE
155,pcoogov,2021-09-20 08:15:15+00:00,"TINGNAN: Dumating na sa bansa nitong Linggo, Setyembre 19, 2021, ang karagdagang tatlong milyong doses ng Sinovac. Sa kabuuan, meron ng 36 na milyong doses ng Sinovac vaccines ang dumating sa bansa. 

#workingPCOO 
#RESBAKUNA 
#COVID19PH https://t.co/fi0SokQ4la",TRUE
157,PhilstarNews,2021-09-20 08:06:13+00:00,"RT @PilStarNgayon: Aabot naman sa 319 kaso ng mas nakahahawang COVID-19 Delta variant ang naidagdag sa talaan ng Pilipinas, bagay na galingÃ¢â‚¬Â¦",TRUE
158,Plaridel_DLSU,2021-09-20 08:05:45+00:00,"UMABOT sa 18,937 ang kumpirmadong karagdagang kaso ng COVID-19 sa Pilipinas ngayong araw, Setyembre 20.

Dahil dito, 2,385,616 na ang kabuuang bilang ng kaso ng sakit sa bansa at nasa 176,850 ang mga aktibong kaso rito.

#COVID19PH | mula @DOHgovph https://t.co/hiUXbNPHPE",TRUE
160,PilStarNgayon,2021-09-20 08:02:04+00:00,"Aabot naman sa 319 kaso ng mas nakahahawang COVID-19 Delta variant ang naidagdag sa talaan ng Pilipinas, bagay na galing sa latest run ng sequencing nitong ika-18 ng Setyembre. #COVID19PH

https://t.co/BOwZysOvyB",TRUE
