ID,rating,claim description,content,title,content type
1,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Article
2,FALSE,Table shows when COVID-19 variations will be released,,,Image
3,FALSE,Table shows when COVID-19 variations will be released,,,Image
4,FALSE,Ibinasura na ng Comelec lahat ng kaso ng diskalipikasyon laban kay Marcos,,,Article
5,FALSE,"Gabby Lopez sold all his shares in ABS-CBN Corporation, Lopez Holdings","Alam nyo ba? Si Eugenio ""Gabby"" Lopez III, last quarter ng 2019 at Marso 2020 pa lang naibinenta na lahat ng kanyang shares sa Lopez Holdings. Ang Lopez Holdings ang may hawak ng 49% shares ng ABS...",Gabby Lopez sold shares Lopez Holdings – Jay Sonza on Facebook,Text
6,FALSE,OVP sent spoiled food to frontliners at Diliman Doctors Hospital,"IS THIS TRUE? HALA LAGOT!!! His boss (FVP) sent food to the frontliners of Diliman Doctors Hospital. The food was spoiled. Barry, FVP's spokeperson rushed to the hospital and asked the staff to keep...",https://www.facebook.com/grace.go.3304/posts/2622028058017276,Text
7,FALSE,Bongbong Marcos graduated from Princeton University,,Jay Sonza: Bongbong a Princeton grad,Text
8,FALSE,Japanese government bans microwave ovens,"Huwag na raw gumamit ng Microwave Oven... The Japanese government has decided to dispose of all the "" *microwave ovens*"" in the country before the end of this year. The reason for the ban on...",https://www.facebook.com/firstvitaplusforever/posts/719798175155481,Text
9,FALSE,Japanese government bans microwave ovens,"Huwag na raw gumamit ng Microwave Oven... The Japanese government has decided to dispose of all the "" *microwave ovens*"" in the country before the end of this year. The reason for the ban on...",https://www.facebook.com/majojie.tacorda/posts/2722252057805336,Text
10,FALSE,Japanese government bans microwave ovens,"Huwag na raw gumamit ng Microwave Oven... The Japanese government has decided to dispose of all the "" *microwave ovens*"" in the country before the end of this year. The reason for the ban on...",https://www.facebook.com/marlonbanaagecol/posts/2843215432378819,Text
11,FALSE,Japanese government bans microwave ovens,"Huwag na raw gumamit ng Microwave Oven... The Japanese government has decided to dispose of all the "" *microwave ovens*"" in the country before the end of this year. The reason for the ban on...",https://www.facebook.com/miel.hular/posts/2080540212046728,Text
12,FALSE,Japanese government bans microwave ovens,JAPAN DISPOSING MICROWAVE OVENS for health safety IMPORTANT INFORMATION FOR OUR HEALTH The Japanese government decided to dispose of all microwave ovens in the country before the end of this...,https://www.facebook.com/permalink.php?story_fbid=389433888353525&id=339816989981882,Text
13,FALSE,Japanese government bans microwave ovens,"Huwag na raw gumamit ng Microwave Oven... The Japanese government has decided to dispose of all the "" *microwave ovens*"" in the country before the end of this year. The reason for the ban on...",https://www.facebook.com/remedios.carino.73/posts/776487256117770,Text
14,FALSE,Japanese government bans microwave ovens,JAPAN DISPOSING MICROWAVE OVENS for health safety IMPORTANT INFORMATION FOR OUR HEALTH The Japanese government decided to dispose of all microwave ovens in the country before the end of this...,https://www.facebook.com/neilson.nazario/posts/10212758983004421,Text
15,FALSE,Japanese government bans microwave ovens,JAPAN DISPOSING MICROWAVE OVENS for health safety IMPORTANT INFORMATION FOR OUR HEALTH The Japanese government decided to dispose of all microwave ovens in the country before the end of this...,https://www.facebook.com/danny.devilla/posts/10219038038856225,Text
16,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Text
17,FALSE,Helicopters to spray anti-COVID substances over Luzon,"Guys isara ang lahat ng bintana at pintuan lahat ng damit na nakasampay sa labas ipasok, mag iikot mamayang 12 ng hating gabi ang helicopter sa buong luzon mag spray sila ng contra covid idadaan sa...",https://www.facebook.com/permalink.php?story_fbid=898033044048912&id=413538582498363,Text
18,FALSE,Media did not report on March 23 COVID-19 case tally,"Ang galing ng Philippine Mainstream Media (Big Networks & Newspapers). Kapag 7k to 8k ang covid19 positive cases for a day - Headliner, Banner story, with matching editorial pa. Kahapon, March 23, 2021 walang news coverage, no story, no postings. Bakit? Kasi po bumagsak ang bilang ng bagong kaso. 2,000 lang iyong tested positive sa sars-cov-2 sa maghapon at magdamag.",Jay Sonza - Ang galing ng Philippine Mainstream Media (Big... | Facebook,Text
19,FALSE,'Required' COVID-19 home medical kit,,,Text
20,FALSE,Canned goods from China contain flesh of COVID-19 victims,,,Text
21,FALSE,Philippine armed forces on red alert due to tensions with China,,,Text
22,FALSE,Makati Medical Center says COVID-19 vaccines weaken immune system,,,Text
23,FALSE,Makati Medical Center says COVID-19 vaccines weaken immune system,,"FYI Sa lahat ng kumuha ng Vaccine
Post from Makati Medical Center. Dr. Avila was LSGH1975. So sad 😭",Text
24,FALSE,COVID-19 mRNA vaccine ‘not a vaccine against coronavirus’,,,Text
25,FALSE,Liza Soberano to represent Philippines in 70th Miss Universe,,,Text
26,FALSE,Government officials collect vaccination cards to erase records,,,Text
27,FALSE,Makabayan lawmakers are communist guerillas’ urban operatives,,,Text
28,FALSE,COVID-19 advisory from Johns Hopkins University,LATEST MESSAGE FROM JOHN HOPKINS UNIVERSITY From John's Hopkins Hospital COVID-19 virus is not a living organism . It is a protein molecule (RNA or DNA) covered by a protective layer of lipid...,https://www.facebook.com/francia.arriola/posts/3576821609015873,Text
29,FALSE,COVID-19 advisory from Johns Hopkins University,LATEST MESSAGE FROM JOHN HOPKINS UNIVERSITY From John's Hopkins Hospital This virus is not a living organism . It is a protein molecule (RNA or DNA) covered by a protective layer of lipid...,https://www.facebook.com/bonvillamor/posts/10223355758063869,Text
30,FALSE,"Hospitals can claim up to P750,000 for COVID-19 treatment regardless of actual cost",,,Text
31,FALSE,"Hospitals can claim up to P750,000 for COVID-19 treatment regardless of actual cost",,,Text
32,FALSE,WHO approves COVID-19 cure that can end virus 100%,,,Text
33,FALSE,WHO approves COVID-19 cure that can end virus 100%,"* Good news: * * Ramu, an Indian student at the University of Pondicherry, invented home remedies for Govind 19, * * Approved by WHO. * * He proved that if one teaspoon of black pepper powder and two teaspoons of honey and a little ginger juice are taken continuously for 5 days, the effect of corona can be eliminated up to 100% *. The world is starting to take this treatment. * Send to all groups * * Help me get well ... *","* Good news: * * Ramu, an Indian student at the University of Pondicherry, invented home remedies for Govind 19, * * Approved by WHO. * * He proved that if one teaspoon of black pepper powder and two teaspoons of honey and a little ginger juice are taken continuously for 5 days, the effect of corona can be eliminated up to 100% *. The world is starting to take this treatment. * Send to all groups * * Help me get well ... *",Text
34,FALSE,"Kim Atienza, BBC 'reported about phone emitting radiation'","turn off daw mamaya ang mga cp 10:30 PM hanggang 3:30 AM kase malakas ang radiation dhil sa cosmic rays, nucli atomic. Ibinalita ni Kuya Kim at sa BBC news sa cable. Delikado't bka nakkamatay daw....",https://www.facebook.com/carina.arellano.37/posts/2587426824658806,Text
35,FALSE,"Kim Atienza, BBC 'reported about phone emitting radiation'","turn off daw mamaya ang mga cp 10:30 PM hanggang 3:30 AM kase malakas ang radiation dhil sa cosmic rays, nucli atomic. Ibinalita ni Kuya Kim at sa BBC news sa cable. Delikado't bka nakkamatay daw....",https://www.facebook.com/AkOcCoUrTNey/posts/1486898334794157,Text
36,FALSE,'SARS' case reported in clinic at Shangri-La Plaza,,,Text
37,FALSE,,Ctto: Taal Volcano Eruption Update: Base daw po sa mga eksperto ay dipa sumasabog ang taal volcano kaya pag nag alert number 5 na daw po ay kasama na ang Lipa sa mga kailangang lumikas dahil ang...,Hihigupin ng Taal volcano ang dagat sa Oriental Mindoro at magdudulot ito ng mas malakas pa na pagsabog,Text
38,FALSE,SM MOA has ‘damaged foundation’,"Guys, avoid nyo din pumunta sa MOA. 1 of the Engineers is our family friend and pinatawag sila ng management dahil nasira na ang mga pondasyon sa ilalim causing the water from the bay to enter sa...","Water ""entered"" basement of MOA, foundation ""damaged""",Text
39,FALSE,SM MOA has ‘damaged foundation’,"Wala muna po pupunta sa MOA ha..... Guys, avoid nyo din pumunta sa MOA. 1 of the Engineers is our family friend and pinatawag sila ng management dahil nasira na ang mga pondasyon sa ilalim causing...","Water ""entered"" basement of MOA, foundation ""damaged""",Text
40,FALSE,,"Mag mask kayo. May positive na sa corona virus dito sa alabang. Nagpacheck up yung chinese ss HP Alabang, nagpositive tapos nagpasecond opinion sa Asian Hospi, nagpositive ulit at naka quarantine na....",https://www.facebook.com/rolly.wang/posts/10211863645465511,Text
41,FALSE,,"Good news, Wuhan's corona virus can be cured by one bowl of freshly boiled garlic water. Old Chinese doctor has proven it's efficacy. Many patients has also proven this to be effective. Eight (8)...",https://www.facebook.com/ghemzmondero/posts/1168122260185815,Text
42,FALSE,"Philippines’ 2010-2016 economic growth rates were 3.7%, 3.2%, 4.2%",,,Text
43,FALSE,Robredo cites wrong drug war numbers at UN talk,,,Text
44,FALSE,SM MOA could collapse due to weak foundations,,,Text
45,FALSE,Briones urges schools to distribute marijuana,,,Text
46,FALSE,China releases list of guidelines for Sinovac’s vaccine,"According to SinoVac guidelines. DoH should inform the public about these before they get themselves vaccinated. SinoVac Warning: Reposting China's guidelines for Sinovac vaccination. Original in Chinese (translated to English) 但各位網友為自己、為家人考慮接種科興疫苗時，應參考以下北京市防疫中心的指引。另外，溫馨提示：香港專家不建議中風人士接種疫苗。 Reminding all Netizens to consider the guidelines set by Beijing’s Vaccine Prevention Center before taking any vaccine, whether for your own sake or for your family. A gentle reminder from Hong Kong Specialist: Those who suffer stroke is not advisable to take the vaccine. 北京市防疫中心提示接種科興疫苗的要求 : Beijing City Vaccine Prevention Center list down the requirements for vaccination: 🔸1. 惡性腫瘤病者不予接種。 Those with malignant tumor are not fit to be inoculated or vaccinated. 🔸2. 有基礎疾病時如高血壓，糖尿病等藥物控制不好的，不予接種。 Those people taking maintenance pills for High Blood Pressure, Diabetes are not fit to vaccinate. 🔸3. 精神類疾病者如抑鬱症不予接種。 Those qualify for mental health disorders like Depression and anxiety is not suitable to vaccinate. 🔸4. 家族遺傳性疾病如白化病，不予接種。 Those with hereditary diseases like Albinism are not suitable to vaccinate. 🔸5. 心腦血管疾病不穩定，不予接種。 Those with unstable Cardiovascular diseases are not suitable to inoculate. 🔸6. 做過心臟手術時如心臟搭橋，不予接種。 Those underwent operation such as Coronary Bypass are not fit to vaccinate. 🔸7. 大手術後恢復期，不予接種。 Those who are recovering from major surgery are not fit to inoculate. 🔸8. 近三個月內使用過血液制品和免疫抑制者，不予接種。 Those who used Blood products and immunosupressive drugs for the last three months are not suitable to vaccinate. 🔸9. 服用優甲樂的人，不予接種。 Those taking Euthyrox are not suitable to inoculate. 🔸10. 被孕期婦女三到六個月，不予接種。 Pregnant women in their first to second trimester are not fit to vaccinate. 🔸11. 長期服用免疫抑制劑者，不予接種。 Those taking long term immunosuppressive drugs are not fit to vaccinate. 🔸12. 有中重度貧血者，不予接種。 Those suffer from Moderate to severe anemia should not be inoculated. 🔸13. 三個月內服用過抗病毒藥物抗過敏藥，抗生素的必須停藥，症狀消失，一到二週後方可接種。 Those taking antiviral and antibiotics drugs within three months time can be vaccinated only after one to two weeks of not taking the medicine provided that no symptoms persist. 🔸14. 乙肝l和幽門螺旋杆菌抗病毒期間不予接種。 Those with Hepatitis B and Helicobacter Pylori can’t be vaccinated. 🔸15. 高血壓控制穩定140/90以下才接種。 Those people with stable high blood pressure of 140/90 below can be vaccinated. 🔸16. 流感禁忌的本苗都禁忌接種。 Those with root origin from Flu prevention are prohibited to inoculate. 🔸17. 接種流感疫苗至9隔14天後才可接種。 Those people vaccinated with Flu virus can be inoculated after quarantine of 9-14 days. NOTE: Copy paste.","Kny BubbleWorks - According to SinoVac guidelines. 
DoH... | Фејсбук",Text
47,FALSE,,"Inday Sara: ""Why are you blaming Duterte for the 200 Billion? HE RELEASED THAT! Blame your LGUs!! This is what you get for having a centralized government. This is why Duterte wanted Federalism but...",https://www.facebook.com/michelle.mabalod/posts/3409176969110295,Text
48,FALSE,"UAAP Season 84 opens on September 8, 2021",,,Text
49,FALSE,,ctto,https://www.facebook.com/groups/288218004888308/permalink/854467734929996/,Text
50,FALSE,,"Just observe, if they will follow the Priests & Nuns in the Philippines",https://www.facebook.com/groups/323505118059814/permalink/586042158472774/,Text
51,FALSE,,Ayay kini..andamang camera ninyo diha kay para documentation..Eng eng eng!,https://www.facebook.com/groups/maghisgottagpolitikabai/permalink/1820161718089204/,Text
52,FALSE,"Alkaline food, lemons 'prevent' coronavirus infection",,,Text
53,FALSE,"Alkaline food, lemons 'prevent' coronavirus infection",,,Text
